1	1	4	11451	1
1	2	3	7632	1
1	3	3	11866	0
1	34	6	19833	0
1	24	3	15063	1
1	19	1	12837	1
1	45	6	30834	0
1	25	2	8636	1
1	40	4	22589	0
1	13	6	17081	0
1	12	5	15966	0
1	21	4	10452	1
1	20	3	11429	1
1	8	3	9629	0
1	41	2	20173	0
1	37	4	8078	0
1	22	6	13197	0
1	36	6	23592	0
1	14	6	10986	1
1	10	2	10387	1
1	11	1	9361	1
1	39	2	24175	0
1	18	1	8798	1
1	27	4	67038	1
1	16	6	9866	1
1	28	5	20425	0
1	43	6	14883	0
1	33	2	15895	0
1	32	4	10629	0
1	7	4	25806	1
1	42	3	9953	0
1	17	2	8577	1
1	44	6	17751	0
1	5	2	14863	1
1	30	5	16380	0
1	6	5	10005	1
1	29	2	12493	0
1	9	1	18754	0
1	4	1	14697	1
1	38	6	51752	0
1	35	5	45684	0
1	23	4	10017	1
1	26	3	9039	1
1	31	5	17777	0
1	15	5	7841	1
2	1	4	31391	1
2	2	5	43821	0
2	3	3	275446	0
2	36	2	45681	0
2	13	1	29165	0
2	18	4	57661	0
2	41	5	24379	0
2	38	2	30396	0
2	19	4	15499	0
2	22	1	11808	0
2	23	4	19928	1
2	16	6	9583	1
2	12	1	12136	1
2	27	2	14589	0
2	32	6	9027	0
2	15	5	10532	1
2	31	4	10143	0
2	26	6	14165	0
2	30	5	16771	0
2	6	2	14891	0
2	34	3	18071	0
2	25	6	10515	0
2	8	2	9880	0
2	33	5	27816	0
2	35	1	16304	0
2	9	5	10662	1
2	29	6	61949	0
2	20	5	15882	0
2	42	6	30448	0
2	24	3	8130	1
2	45	2	14485	0
2	7	4	16101	1
2	43	6	14302	0
2	21	4	14040	1
2	44	6	24911	0
2	40	4	11804	0
2	4	2	21124	0
2	11	1	10166	1
2	37	3	11234	0
2	28	5	21002	0
2	14	6	11645	1
2	5	3	20633	0
2	39	4	14731	0
2	10	2	8084	1
2	17	3	20919	0
4	1	4	32404	1
4	2	3	23956	1
4	3	3	17118	0
4	8	5	33724	1
4	9	5	14674	1
4	19	5	10040	0
4	29	6	21565	0
4	39	3	11578	0
4	37	3	17023	0
4	43	6	30122	0
4	22	6	10827	0
4	27	2	7681	0
4	41	2	8083	0
4	5	3	34789	0
4	17	2	5850	1
4	11	2	15787	0
4	25	5	11789	0
4	16	2	24610	0
4	26	6	9470	0
4	31	2	7470	0
4	12	1	4162	1
4	14	6	6067	1
4	18	2	9074	0
4	42	3	6918	0
4	20	3	3603	1
4	13	2	5903	0
4	10	2	14864	1
4	36	3	7222	0
4	21	4	9892	1
4	40	5	12552	0
4	23	1	19226	0
4	33	3	6459	0
4	44	5	7162	0
4	15	2	12668	0
4	45	3	18748	0
4	38	5	13786	0
4	34	6	8800	0
4	30	5	7159	0
4	6	5	11116	1
4	24	3	13272	1
4	32	2	6370	0
4	28	3	10724	1
4	7	4	13868	1
4	4	1	6615	1
4	35	5	8902	0
5	1	4	68209	1
5	2	3	42575	1
5	3	4	48921	1
5	17	2	18113	1
5	38	3	22244	0
5	37	2	37365	0
5	18	1	27613	1
5	42	3	36079	0
5	34	4	15372	0
5	19	3	16426	0
5	20	3	11141	1
5	23	4	9561	1
5	45	3	21176	0
5	16	6	9153	1
5	24	3	17555	1
5	31	5	14375	0
5	7	4	16260	1
5	13	5	22351	1
5	9	5	10493	1
5	40	5	10058	0
5	4	1	12062	1
5	36	6	20519	0
5	8	2	13530	0
5	11	1	9162	1
5	27	3	11141	0
5	44	5	15047	0
5	10	2	6344	1
5	39	5	15079	0
5	5	2	8494	1
5	21	4	33684	1
5	12	1	14923	1
5	6	1	35636	0
5	15	1	8867	0
5	28	3	20853	1
5	29	5	40364	0
5	25	2	19220	1
5	32	1	19429	0
5	41	3	17382	0
5	14	6	21756	1
5	30	5	10313	0
5	43	5	27966	0
5	35	5	26553	0
5	26	5	22476	0
5	33	2	23449	0
5	22	6	18563	0
6	1	4	18277	1
6	2	3	8196	1
6	3	2	9750	0
6	34	4	26273	0
6	5	2	26153	1
6	36	1	10688	0
6	43	6	8208	0
6	17	2	7653	1
6	18	1	43403	1
6	7	4	9739	1
6	31	4	29160	0
6	45	5	10487	0
6	12	3	51210	0
6	19	4	37833	0
6	41	6	60204	0
6	40	6	56380	0
6	25	2	51546	1
6	4	1	66584	1
6	33	2	58120	0
6	27	2	7133	0
6	20	4	60217	0
6	32	2	57795	0
6	21	5	55914	0
6	22	4	57072	0
6	37	5	68856	0
6	39	4	24129	0
6	10	3	29265	0
6	14	6	23201	1
6	26	3	29395	1
6	16	6	23766	1
6	13	5	39147	1
6	35	3	59676	0
6	23	4	73964	1
6	24	3	53277	1
6	9	2	28683	0
6	42	3	11066	0
6	29	6	72673	0
6	8	2	16204	0
6	28	3	40170	1
6	30	5	24657	0
6	6	1	106085	0
6	44	3	54255	0
6	15	5	43072	1
6	38	2	39669	0
6	11	4	82992	0
7	1	4	69430	1
7	2	3	20507	1
7	3	4	28524	1
7	29	5	63020	0
7	7	4	7593	1
7	38	6	10162	0
7	14	6	11732	1
7	5	3	24874	0
7	33	2	37800	0
7	44	3	9978	0
7	16	6	15773	1
7	36	6	26139	0
7	34	6	17952	0
7	30	5	12924	0
7	9	5	9378	1
7	39	2	21389	0
7	24	3	20580	1
7	26	3	33583	1
7	42	3	15694	0
7	10	2	10599	1
7	19	2	13118	0
7	45	5	24880	0
7	37	5	37737	0
7	40	5	13670	0
7	22	3	11688	0
7	12	1	28418	1
7	13	4	22739	0
7	41	2	28989	0
7	15	5	16757	1
7	28	3	21305	1
7	31	2	15434	0
7	8	5	25056	1
7	27	2	27480	0
7	43	6	19908	0
7	17	2	8670	1
7	11	1	30180	1
7	18	1	23501	1
7	32	6	20283	0
7	20	3	42630	1
7	25	2	21663	1
7	6	6	22254	0
