,paper_number,accuracy
2,3,93
3,4,77
4,5,68
5,6,66
6,7,93
7,8,73
8,9,100
9,10,77
10,11,66
11,12,80
12,13,93
13,14,91
14,15,77
15,16,66
16,17,77
17,18,86
18,19,73
19,20,66
20,21,77
21,22,91
22,23,95
23,24,66
24,25,50
25,26,86
26,27,86
27,28,89
28,29,23
29,30,23
30,31,93
31,32,55
32,33,45
33,34,68
34,35,48
35,36,36
36,37,86
37,38,59
38,39,52
39,40,20
40,41,41
41,42,18
42,43,25
43,44,43
44,45,18
