,TrialNum,Subject,CorResp,accuracy,Resp,RT,Diapo,Age_year,Gender,paper_number
104,195,1002,Image1,1.0,Image1,3502.0,11,24,female,10
105,196,1002,Image2,1.0,Image2,11179.0,41,24,female,27
106,197,1002,Image4,1.0,Image4,9769.0,21,24,female,37
107,198,1002,Image2,1.0,Image2,4110.0,10,24,female,7
108,199,1002,Image1,1.0,Image1,9856.0,18,24,female,34
109,200,1002,Image3,1.0,Image3,3782.0,42,24,female,28
110,201,1002,Image2,1.0,Image2,17499.0,31,24,female,38
111,202,1002,Image5,1.0,Image5,2434.0,8,24,female,8
112,203,1002,Image2,1.0,Image2,5327.0,5,24,female,4
113,204,1002,Image3,1.0,Image3,6075.0,24,24,female,18
114,205,1002,Image6,1.0,Image6,22237.0,29,24,female,25
115,206,1002,Image5,0.0,Image3,15898.0,22,24,female,35
116,207,1002,Image3,1.0,Image3,7142.0,26,24,female,16
117,208,1002,Image4,1.0,Image4,3324.0,7,24,female,9
118,209,1002,Image2,1.0,Image2,4960.0,25,24,female,17
119,210,1002,Image6,1.0,Image6,24638.0,34,24,female,45
120,211,1002,Image3,0.0,Image5,22870.0,28,24,female,24
121,212,1002,Image3,1.0,Image3,10275.0,20,24,female,20
122,213,1002,Image5,1.0,Image5,17985.0,9,24,female,23
123,214,1002,Image6,1.0,Image6,4708.0,32,24,female,44
124,215,1002,Image1,1.0,Image1,5655.0,4,24,female,3
125,216,1002,Image1,1.0,Image1,4043.0,12,24,female,15
126,217,1002,Image4,1.0,Image4,9342.0,23,24,female,19
127,218,1002,Image4,1.0,Image4,18982.0,27,24,female,42
128,219,1002,Image6,0.0,Image2,39637.0,38,24,female,29
129,220,1002,Image1,1.0,Image1,66403.0,35,24,female,43
130,221,1002,Image2,1.0,Image2,9050.0,33,24,female,41
131,222,1002,Image1,1.0,Image1,22029.0,39,24,female,40
132,223,1002,Image6,1.0,Image6,19388.0,36,24,female,39
133,224,1002,Image3,1.0,Image3,2563.0,37,24,female,11
134,225,1002,Image3,1.0,Image3,7508.0,45,24,female,33
135,496,1009,Image4,1.0,Image4,7876.0,3,23,male,6
138,499,1009,Image1,0.0,Image3,51131.0,39,23,male,40
139,500,1009,Image5,1.0,Image5,8224.0,30,23,male,26
140,501,1009,Image3,1.0,Image3,2735.0,37,23,male,11
141,502,1009,Image2,1.0,Image2,5024.0,31,23,male,38
142,503,1009,Image2,1.0,Image2,3754.0,25,23,male,17
143,504,1009,Image1,1.0,Image1,7891.0,12,23,male,15
144,505,1009,Image5,1.0,Image5,3411.0,8,23,male,8
145,506,1009,Image4,1.0,Image4,2449.0,7,23,male,9
146,507,1009,Image4,1.0,Image4,11684.0,23,23,male,19
147,508,1009,Image5,1.0,Image5,3643.0,40,23,male,12
148,509,1009,Image4,1.0,Image4,8446.0,44,23,male,30
149,510,1009,Image5,1.0,Image5,9515.0,6,23,male,5
150,511,1009,Image4,1.0,Image4,5643.0,27,23,male,42
151,512,1009,Image5,1.0,Image5,12978.0,22,23,male,35
152,513,1009,Image3,1.0,Image3,4298.0,24,23,male,18
153,514,1009,Image5,1.0,Image5,7334.0,13,23,male,21
154,515,1009,Image6,1.0,Image6,5826.0,36,23,male,39
155,516,1009,Image3,1.0,Image3,3463.0,20,23,male,20
156,517,1009,Image3,1.0,Image3,2346.0,28,23,male,24
157,518,1009,Image2,1.0,Image2,4036.0,41,23,male,27
158,519,1009,Image1,1.0,Image1,1428.0,4,23,male,3
159,520,1009,Image5,1.0,Image5,3529.0,9,23,male,23
160,521,1009,Image1,1.0,Image1,5312.0,35,23,male,43
161,522,1009,Image2,1.0,Image2,2067.0,10,23,male,7
162,523,1009,Image6,1.0,Image6,7373.0,38,23,male,29
163,524,1009,Image6,1.0,Image6,6467.0,29,23,male,25
164,525,1009,Image6,1.0,Image6,3010.0,14,23,male,13
165,526,1009,Image2,1.0,Image2,7996.0,33,23,male,41
166,527,1009,Image6,1.0,Image6,3179.0,43,23,male,32
167,528,1009,Image6,1.0,Image6,2876.0,16,23,male,31
168,529,1009,Image6,1.0,Image6,10447.0,32,23,male,44
169,530,1009,Image2,1.0,Image2,1778.0,17,23,male,22
170,531,1009,Image6,1.0,Image6,11634.0,34,23,male,45
171,532,1009,Image1,1.0,Image1,4270.0,11,23,male,10
172,533,1009,Image1,1.0,Image1,2317.0,18,23,male,34
173,534,1009,Image3,1.0,Image3,17548.0,26,23,male,16
174,535,1009,Image2,1.0,Image2,5912.0,5,23,male,4
175,536,1009,Image5,1.0,Image5,2715.0,15,23,male,14
176,537,1009,Image3,1.0,Image3,11290.0,42,23,male,28
177,538,1009,Image3,1.0,Image3,3832.0,45,23,male,33
178,539,1009,Image1,1.0,Image1,3021.0,19,23,male,36
179,540,1009,Image4,1.0,Image4,3857.0,21,23,male,37
180,541,1010,Image3,1.0,Image3,6716.0,28,23,female,24
