Subject CorResp Acc Resp RT Diapo Age_year Gender
223 1002 Image6 1 Image6 19388 36 24 female
224 1002 Image3 1 Image3 2563 37 24 female
225 1002 Image3 1 Image3 7508 45 24 female
496 1009 Image4 1 Image4 7876 3 23 male
497 1009 Image4 1 Image4 10164 1 23 male
498 1009 Image3 1 Image3 6024 2 23 male
499 1009 Image1 0 Image3 51131 39 23 male
500 1009 Image5 1 Image5 8224 30 23 male
501 1009 Image3 1 Image3 2735 37 23 male
502 1009 Image2 1 Image2 5024 31 23 male
503 1009 Image2 1 Image2 3754 25 23 male
504 1009 Image1 1 Image1 7891 12 23 male
505 1009 Image5 1 Image5 3411 8 23 male
506 1009 Image4 1 Image4 2449 7 23 male
507 1009 Image4 1 Image4 11684 23 23 male
508 1009 Image5 1 Image5 3643 40 23 male
509 1009 Image4 1 Image4 8446 44 23 male
510 1009 Image5 1 Image5 9515 6 23 male
511 1009 Image4 1 Image4 5643 27 23 male
512 1009 Image5 1 Image5 12978 22 23 male
513 1009 Image3 1 Image3 4298 24 23 male
514 1009 Image5 1 Image5 7334 13 23 male
515 1009 Image6 1 Image6 5826 36 23 male
516 1009 Image3 1 Image3 3463 20 23 male
517 1009 Image3 1 Image3 2346 28 23 male
518 1009 Image2 1 Image2 4036 41 23 male
519 1009 Image1 1 Image1 1428 4 23 male
520 1009 Image5 1 Image5 3529 9 23 male
521 1009 Image1 1 Image1 5312 35 23 male
522 1009 Image2 1 Image2 2067 10 23 male
523 1009 Image6 1 Image6 7373 38 23 male
524 1009 Image6 1 Image6 6467 29 23 male
525 1009 Image6 1 Image6 3010 14 23 male
526 1009 Image2 1 Image2 7996 33 23 male
527 1009 Image6 1 Image6 3179 43 23 male
528 1009 Image6 1 Image6 2876 16 23 male
529 1009 Image6 1 Image6 10447 32 23 male
530 1009 Image2 1 Image2 1778 17 23 male
531 1009 Image6 1 Image6 11634 34 23 male
532 1009 Image1 1 Image1 4270 11 23 male
533 1009 Image1 1 Image1 2317 18 23 male
534 1009 Image3 1 Image3 17548 26 23 male
535 1009 Image2 1 Image2 5912 5 23 male
536 1009 Image5 1 Image5 2715 15 23 male
537 1009 Image3 1 Image3 11290 42 23 male
538 1009 Image3 1 Image3 3832 45 23 male
539 1009 Image1 1 Image1 3021 19 23 male
540 1009 Image4 1 Image4 3857 21 23 male
541 1010 Image3 1 Image3 6716 28 23 female
542 1010 Image3 1 Image3 2391 37 23 female
